transaction_id,date,customer,category,amount,currency,status
TRX-00001,2026-02-08,"Pena, Washington and Bell",Purchase,41193.08,IRR,Pending
TRX-00002,2026-05-26,"Daniels, Lee and Mcfarland",Purchase,326214.93,IRR,Pending
TRX-00003,2025-07-18,Pugh Group,Expense,346006.95,IRR,Paid
TRX-00004,2026-03-01,Horn-Jackson,Sales,86996.4,IRR,Cancelled
TRX-00005,2026-02-12,Shepard-Allen,Service,446040.9,IRR,Pending
TRX-00006,2026-05-25,"Hammond, Bishop and Garrett",Purchase,418057.52,IRR,Pending
TRX-00007,2026-03-07,Washington-Thomas,Expense,233203.11,IRR,Cancelled
TRX-00008,2026-06-24,Silva Group,Expense,187924.43,IRR,Paid
TRX-00009,2024-12-20,Ingram Ltd,Expense,270218.45,IRR,Paid
TRX-00010,2025-04-16,Delgado-Lopez,Purchase,439927.43,IRR,Pending
TRX-00011,2024-10-23,"Ferguson, Davis and Clark",Service,335852.56,IRR,Paid
TRX-00012,2024-12-11,"Lee, Bell and Gonzalez",Purchase,64406.09,IRR,Paid
TRX-00013,2026-07-20,"Baird, Stevens and Hamilton",Service,379529.48,IRR,Pending
TRX-00014,2025-02-03,Young LLC,Expense,87343.8,IRR,Pending
TRX-00015,2026-04-07,Henry-Wood,Purchase,89759.31,IRR,Pending
TRX-00016,2026-06-10,Clark-Harris,Service,9673.16,IRR,Cancelled
TRX-00017,2025-10-09,"Parker, Patrick and Hamilton",Service,44388.74,IRR,Paid
TRX-00018,2025-01-30,"Johnson, Woods and Alexander",Expense,261154.93,IRR,Pending
TRX-00019,2024-08-31,Meyer Ltd,Purchase,82004.95,IRR,Cancelled
TRX-00020,2025-11-09,Rodriguez Inc,Expense,251503.4,IRR,Pending
TRX-00021,2024-10-07,"Tran, Cunningham and Woodward",Sales,119128.9,IRR,Cancelled
TRX-00022,2024-09-24,Roth-Doyle,Service,389551.96,IRR,Cancelled
TRX-00023,2025-12-10,Anderson and Sons,Service,480168.3,IRR,Pending
TRX-00024,2026-02-28,Gibson Group,Service,114410.54,IRR,Pending
TRX-00025,2025-02-18,Shah PLC,Expense,270064.85,IRR,Cancelled
TRX-00026,2024-08-23,Miller-Dalton,Purchase,483719.49,IRR,Pending
TRX-00027,2025-06-30,"Best, Townsend and Knapp",Sales,8965.18,IRR,Paid
TRX-00028,2025-09-03,"Gutierrez, Parks and James",Purchase,174862.93,IRR,Cancelled
TRX-00029,2024-11-09,Wolfe and Sons,Sales,35517.95,IRR,Cancelled
TRX-00030,2025-08-01,Zimmerman Ltd,Purchase,167348.51,IRR,Paid
TRX-00031,2025-01-24,Edwards Group,Service,495481.74,IRR,Pending
TRX-00032,2025-08-10,Woods Group,Service,120853.82,IRR,Cancelled
TRX-00033,2025-01-29,Moore-Franklin,Sales,209839.0,IRR,Paid
TRX-00034,2025-12-06,Willis-Nunez,Expense,97657.09,IRR,Cancelled
TRX-00035,2024-09-04,Johnson-Robinson,Expense,24545.52,IRR,Pending
TRX-00036,2026-01-31,Smith PLC,Sales,70832.06,IRR,Pending
TRX-00037,2026-06-20,Lamb-Miller,Service,241334.36,IRR,Cancelled
TRX-00038,2025-04-12,Gomez-White,Service,115255.96,IRR,Pending
TRX-00039,2026-01-26,Robinson-Phillips,Purchase,238112.99,IRR,Cancelled
TRX-00040,2026-04-30,Perry-Bryant,Service,78199.73,IRR,Cancelled
TRX-00041,2025-09-20,Miller Group,Purchase,473046.93,IRR,Cancelled
TRX-00042,2025-03-16,Chaney-Turner,Purchase,361468.48,IRR,Cancelled
TRX-00043,2025-05-24,Wong PLC,Sales,361289.17,IRR,Paid
TRX-00044,2026-05-31,Green Inc,Sales,361763.53,IRR,Cancelled
TRX-00045,2024-08-31,"Walker, Lane and Calderon",Expense,180603.88,IRR,Pending
TRX-00046,2025-01-15,"White, Perez and May",Expense,111620.61,IRR,Paid
TRX-00047,2024-10-07,"Morris, Foley and Reese",Purchase,169071.58,IRR,Pending
TRX-00048,2026-05-03,"Fuller, Martin and Patel",Service,171785.7,IRR,Paid
TRX-00049,2024-11-12,Montgomery Group,Service,162545.56,IRR,Paid
TRX-00050,2025-09-01,Green Ltd,Sales,178112.05,IRR,Pending
TRX-00051,2026-02-12,"Jackson, Dodson and Olson",Service,19523.85,IRR,Pending
TRX-00052,2026-01-30,Lewis Ltd,Sales,169581.49,IRR,Cancelled
TRX-00053,2024-10-29,Roberts Ltd,Expense,169592.45,IRR,Pending
